Timestamp	President: Would you be satisfied if this candidate were president? Check each that applies (or none).	Vice President: Would you be satisfied if this candidate were vice president? Check each that applies (or none).	Secretary: Would you be satisfied if this candidate were secretary? Check each that applies (or none).	Treasurer: Would you be satisfied if this candidate were treasurer? Check each that applies (or none).	Please rank your choices for President. [1st choice]	Please rank your choices for President. [2nd choice]	Please rank your choices for Vice President. [1st choice]	Please rank your choices for Vice President. [2nd choice]	Please rank your choices for Vice President. [3rd choice]	Please rank your choices for Secretary. [1st choice]	Please rank your choices for Secretary. [2nd choice]	Please rank your choices for Secretary. [3rd choice]	Please rank your choices for Treasurer. [1st choice]	Please rank your choices for Treasurer. [2nd choice]	Please rank your choices for Treasurer. [3rd choice]	Please rank your choices for Treasurer. [4th choice]
6/15/2016 22:30:03	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam		Natalia Glowacka	Andres Cook	Someone Else	Marielle Dalalo			
6/15/2016 22:31:23	Mindren Lu	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka	Tori Gallegos, Theresa Wilcoski	Mindren Lu		Nick Chen	Jenny Lam	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Theresa Wilcoski	Hunain Ali	Marielle Dalalo	Tori Gallegos
							Thalia Perez	Jenny Lam								
							Thalia Perez	Jenny Lam								
6/15/2016 22:32:34	Mindren Lu	Nick Chen, Jenny Lam	Natalia Glowacka	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu		Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Someone Else	Natalia Glowacka	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
							Nick Chen						Marielle Dalalo			
							Jenny Lam									
																
																
																
																
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Jenny Lam	Nick Chen	Thalia Perez	Andres Cook	Natalia Glowacka	Someone Else	Marielle Dalalo			
	Mindren Lu, Cole Makuch	Nick Chen, Jenny Lam	Andres Cook, Natalia Glowacka, Someone Else	Theresa Wilcoski, Marielle Dalalo, Tori Gallegos	Mindren Lu	Cole Makuch	Nick Chen	Jenny Lam	Thalia Perez	Natalia Glowacka	Andres Cook	Someone Else	Theresa Wilcoski	Tori Gallegos	Hunain Ali	
